SamplingEventID,PapaemClass,celltype.aml,n,prop
AML48-AML-1,TP53,Megakaryocytic cells,85,0.00771044992743105
AML48-AML-1,TP53,Erythroid cells,265,0.02403846153846154
AML48-AML-1,TP53,Dendritic cells,24,0.00217706821480406
AML48-AML-1,TP53,NK-cells,7,6.349782293178519e-4
AML48-AML-1,TP53,T-cells,64,0.0058055152394775
AML48-AML-1,TP53,B-cells,121,0.01097605224963715
AML62-AML-1,TP53,AML Immature,87,0.01790860436393577
AML62-AML-1,TP53,HSC,12,0.0024701523260601
AML62-AML-1,TP53,LMPP,21,0.00432276657060518
AML62-AML-1,TP53,GMP,587,0.12083161794977355
AML62-AML-1,TP53,Monocytes,1128,0.23219431864965007
AML62-AML-1,TP53,Megakaryocytic cells,2,4.116920543433512e-4
AML62-AML-1,TP53,Erythroid cells,2425,0.4991766158913133
AML62-AML-1,TP53,Dendritic cells,37,0.00761630300535199
AML62-AML-1,TP53,NK-cells,39,0.00802799505969534
AML62-AML-1,TP53,T-cells,387,0.07966241251543846
AML62-AML-1,TP53,B-cells,133,0.02737752161383285
AML80-AML-1,TP53,AML Immature,566,0.17501546072974644
AML80-AML-1,TP53,HSC,7,0.00216450216450216
AML80-AML-1,TP53,LMPP,59,0.01824366110080395
AML80-AML-1,TP53,GMP,155,0.0479282622139765
AML80-AML-1,TP53,Monocytes,623,0.19264069264069264
AML80-AML-1,TP53,Megakaryocytic cells,102,0.03153988868274583
AML80-AML-1,TP53,Erythroid cells,1257,0.38868274582560297
AML80-AML-1,TP53,Dendritic cells,294,0.09090909090909093
AML80-AML-1,TP53,NK-cells,35,0.01082251082251082
AML80-AML-1,TP53,T-cells,105,0.03246753246753246
AML80-AML-1,TP53,B-cells,31,0.0095856524427953
AML83-AML-1,TP53,AML Immature,363,0.08705035971223021
AML83-AML-1,TP53,HSC,20,0.00479616306954436
AML83-AML-1,TP53,LMPP,57,0.01366906474820143
AML83-AML-1,TP53,GMP,614,0.147242206235012
AML83-AML-1,TP53,Monocytes,1053,0.2525179856115108
AML83-AML-1,TP53,Megakaryocytic cells,112,0.02685851318944844
AML83-AML-1,TP53,Erythroid cells,1220,0.29256594724220625
AML83-AML-1,TP53,Dendritic cells,4,9.592326139088728e-4
AML83-AML-1,TP53,NK-cells,26,0.00623501199040767
AML83-AML-1,TP53,T-cells,451,0.10815347721822542
AML83-AML-1,TP53,B-cells,250,0.05995203836930456
AML85-AML-1,TP53,AML Immature,2885,0.44377788032610366
AML85-AML-1,TP53,HSC,129,0.01984310106137517
AML85-AML-1,TP53,LMPP,228,0.03507152745731426
AML85-AML-1,TP53,GMP,144,0.02215043839409321
AML85-AML-1,TP53,Monocytes,63,0.00969081679741578
AML85-AML-1,TP53,Megakaryocytic cells,10,0.00153822488847869
AML85-AML-1,TP53,Erythroid cells,1737,0.2671896631287494
AML85-AML-1,TP53,Dendritic cells,504,0.07752653437932626
AML85-AML-1,TP53,NK-cells,99,0.01522842639593908
AML85-AML-1,TP53,T-cells,296,0.04553145669896939
AML85-AML-1,TP53,B-cells,406,0.06245193047223504
AML85-Relapse-1,TP53,AML Immature,6728,0.794426732790176
AML85-Relapse-1,TP53,HSC,26,0.00307002007320817
AML85-Relapse-1,TP53,LMPP,375,0.04427913567127169
AML85-Relapse-1,TP53,GMP,200,0.02361553902467824
AML85-Relapse-1,TP53,Monocytes,523,0.06175463454953359
AML85-Relapse-1,TP53,Megakaryocytic cells,10,0.00118077695123391
AML85-Relapse-1,TP53,Erythroid cells,30,0.00354233085370173
AML85-Relapse-1,TP53,Dendritic cells,549,0.06482465462274177
AML85-Relapse-1,TP53,NK-cells,1,1.180776951233912e-4
AML85-Relapse-1,TP53,T-cells,11,0.0012988546463573
AML85-Relapse-1,TP53,B-cells,16,0.00188924312197425
AML155-AML-1,In two subgroups,AML Immature,2017,0.4342303552206674
AML155-AML-1,In two subgroups,HSC,49,0.01054897739504844
AML155-AML-1,In two subgroups,LMPP,7,0.0015069967707212
AML155-AML-1,In two subgroups,GMP,14,0.00301399354144241
AML155-AML-1,In two subgroups,Monocytes,342,0.0736275565123789
AML155-AML-1,In two subgroups,Megakaryocytic cells,144,0.0310010764262648
AML155-AML-1,In two subgroups,Erythroid cells,400,0.0861141011840689
AML155-AML-1,In two subgroups,Dendritic cells,2,4.305705059203445e-4
AML155-AML-1,In two subgroups,NK-cells,134,0.02884822389666308
AML155-AML-1,In two subgroups,T-cells,1296,0.2790096878363832
AML155-AML-1,In two subgroups,B-cells,240,0.05166846071044134
AML61-AML-1,RUNX1::RUNX1T1,AML Immature,3653,0.5146520146520146
AML61-AML-1,RUNX1::RUNX1T1,HSC,3,4.2265426880811494e-4
AML61-AML-1,RUNX1::RUNX1T1,LMPP,10,0.00140884756269371
AML61-AML-1,RUNX1::RUNX1T1,GMP,606,0.08537616229923922
AML61-AML-1,RUNX1::RUNX1T1,Monocytes,18,0.00253592561284869
AML61-AML-1,RUNX1::RUNX1T1,Megakaryocytic cells,179,0.02521837137221752
AML61-AML-1,RUNX1::RUNX1T1,Erythroid cells,1246,0.1755424063116371
